lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
36.3433,-77.3718,6.0,-20.0,16.0,900.0,2.6,-0.01,3.0,5900.0,0.6,,-5.0,13.0,15.0,19.0,2.8,-2.0,5285706
36.4037,-77.3732,19.0,88.0,45.0,900.0,5.4,-0.01,,10700.0,1.88,,-5.0,9.0,15.0,65.0,4.1,-2.0,5285723
36.392,-77.4016,,,,200.0,2.3,-0.01,2.0,5600.0,,,-5.0,9.0,10.0,26.0,1.6,-2.0,5285724
36.4316,-77.3723,6.0,46.0,14.0,200.0,2.6,-0.01,,8700.0,0.67,,-5.0,7.0,5.0,35.0,2.0,-2.0,5285725
36.4361,-77.4016,7.0,17.0,12.0,400.0,2.6,-0.01,1.0,6600.0,0.72,,-5.0,8.0,5.0,30.0,0.9,-2.0,5285726
36.4301,-77.4668,19.0,74.0,41.0,700.0,5.9,0.043,3.0,18700.0,1.99,,5.0,10.0,10.0,82.0,2.5,-2.0,5285727
36.4312,-77.5101,9.0,34.0,22.0,1000.0,3.5,-0.01,1.0,10800.0,1.1,,15.0,10.0,5.0,14.0,5.6,-2.0,5285728
36.4615,-77.4499,9.0,44.0,20.0,700.0,3.5,-0.01,1.0,,0.72,,10.0,8.0,10.0,44.0,2.1,-2.0,5285729
36.4529,-77.3988,3.0,-26.0,12.0,400.0,2.7,-0.01,1.0,8800.0,0.75,,5.0,7.0,-5.0,43.0,2.1,-2.0,5285730
36.4591,-77.5015,4.0,-20.0,10.0,700.0,2.0,-0.01,,5800.0,0.81,,5.0,5.0,-5.0,18.0,2.7,-2.0,5285746
36.4911,-77.67,20.0,49.0,33.0,600.0,7.0,-0.01,1.0,23700.0,3.29,,-5.0,10.0,10.0,134.0,6.7,-2.0,5285754
36.4819,-77.6346,17.0,65.0,35.0,500.0,5.4,-0.01,,17800.0,2.57,,10.0,14.0,35.0,77.0,2.9,-2.0,5285755
36.4535,-77.9308,9.0,29.0,,500.0,4.1,-0.01,1.0,2500.0,-0.5,,5.0,8.0,-5.0,93.0,3.6,2.0,5285822
36.3861,-77.919,14.0,82.0,58.0,800.0,3.8,-0.01,,6000.0,3.4,,-5.0,5.0,15.0,23.0,8.6,-2.0,5285823
36.3883,-77.9362,4.0,83.0,22.0,400.0,1.9,-0.01,,1500.0,0.98,,-5.0,7.0,5.0,11.0,8.7,2.0,5285824
36.3679,-77.9491,19.0,78.0,42.0,700.0,4.7,-0.01,,5100.0,2.25,,10.0,18.0,5.0,13.0,8.8,-2.0,5285825
36.333,-77.9374,101.0,461.0,217.0,900.0,11.5,-0.01,,7100.0,1.59,,385.0,11.0,15.0,32.0,14.9,-2.0,5285826
36.3121,-77.9512,-2.0,-20.0,,700.0,1.2,-0.01,,7300.0,1.44,,-5.0,29.0,5.0,8.0,8.3,2.0,5285827
36.2794,-77.9601,-3.0,54.0,,600.0,1.6,-0.01,,6200.0,2.91,,-5.0,38.0,5.0,8.0,8.0,2.0,5285828
36.3105,-77.9802,7.0,-20.0,,600.0,1.6,-0.01,,10600.0,4.07,,-5.0,33.0,10.0,12.0,14.2,-2.0,5285829
36.3188,-77.9745,8.0,20.0,15.0,700.0,1.5,0.199,,5000.0,3.44,,-5.0,18.0,-5.0,6.0,5.9,-2.0,5285830
36.3389,-77.9918,8.0,40.0,24.0,600.0,1.5,-0.01,2.0,10500.0,5.92,,-5.0,27.0,5.0,6.0,18.7,-2.0,5285831
36.3479,-77.975,98.0,408.0,118.0,800.0,13.1,-0.01,,8500.0,1.68,,295.0,13.0,-5.0,35.0,11.9,-2.0,5285832
36.3783,-77.9793,8.0,30.0,17.0,700.0,25.8,-0.01,1.0,1600.0,1.88,,-5.0,14.0,-5.0,13.0,4.0,-2.0,5285833
36.4044,-77.9516,-3.0,-20.0,9.0,600.0,1.6,-0.01,,1800.0,0.59,,-5.0,12.0,-5.0,7.0,3.4,-2.0,5285834
36.4542,-77.972,15.0,74.0,23.0,700.0,2.3,-0.01,,1900.0,1.77,,5.0,10.0,5.0,5.0,28.2,-2.0,5285835
35.8652,-78.2282,-3.0,-20.0,10.0,800.0,1.4,-0.01,,3000.0,1.6,,-5.0,-5.0,10.0,11.0,4.1,-2.0,5286491
35.907,-78.2224,22.0,71.0,35.0,,2.3,0.105,,2800.0,0.95,,,,,8.0,1.1,,5286492
35.9866,-78.2423,316.0,928.0,523.0,1100.0,17.2,-0.01,,3600.0,-0.5,,-5.0,-5.0,30.0,21.0,1.6,-2.0,5286495
35.9935,-78.1546,12.0,-20.0,,1000.0,7.7,-0.01,2.0,2700.0,0.59,,5.0,5.0,10.0,47.0,7.9,-2.0,5286498
35.7639,-78.2437,34.0,-20.0,33.0,600.0,13.0,-0.01,,16800.0,14.55,,-5.0,-5.0,5.0,70.0,46.2,-2.0,5286657
35.7349,-78.2296,-3.0,-24.0,7.0,100.0,1.9,-0.01,,4500.0,1.46,,-5.0,-5.0,-5.0,18.0,3.7,-2.0,5286674
35.7267,-78.2143,-2.0,-20.0,8.0,700.0,2.9,-0.01,,6400.0,1.13,,-5.0,-5.0,5.0,55.0,3.6,-2.0,5286682
35.7009,-78.2082,-2.0,-20.0,9.0,600.0,2.7,-0.01,,10000.0,0.84,,-5.0,6.0,15.0,62.0,2.7,-2.0,5286707
35.5012,-78.2295,258.0,770.0,455.0,1000.0,17.8,-0.01,,4000.0,0.72,,-5.0,12.0,5.0,85.0,2.7,-2.0,5286733
35.5348,-78.2258,,,,600.0,3.1,2.392,2.0,5000.0,,,15.0,5.0,5.0,14.0,2.8,-2.0,5286735
35.5173,-78.1966,6.0,28.0,17.0,600.0,2.7,-0.01,,9400.0,0.79,,-5.0,5.0,10.0,16.0,5.7,-2.0,5286736
35.5155,-78.1786,4.0,27.0,13.0,900.0,2.5,-0.01,3.0,5800.0,0.7,,-5.0,-5.0,5.0,17.0,1.9,-2.0,5286737
35.5421,-78.1422,14.0,-20.0,15.0,700.0,3.2,-0.01,,10900.0,1.38,,15.0,8.0,5.0,46.0,1.9,-2.0,5286738
35.5246,-78.135,,,,700.0,2.3,-0.01,1.0,,,,-5.0,6.0,5.0,40.0,2.8,-2.0,5286739
35.5061,-78.1132,77.0,218.0,117.0,800.0,16.3,-0.01,2.0,14700.0,1.33,,15.0,10.0,10.0,347.0,4.4,-2.0,5286740
35.5615,-78.1271,11.0,33.0,19.0,700.0,5.3,-0.01,1.0,16000.0,0.78,,-5.0,10.0,5.0,103.0,3.7,-2.0,5286741
35.5675,-78.081,9.0,13.0,11.0,700.0,4.2,-0.01,2.0,26200.0,1.61,,5.0,9.0,5.0,94.0,4.9,-2.0,5286742
35.5827,-78.0775,,,,700.0,8.6,-0.01,3.0,34200.0,,,-5.0,15.0,5.0,209.0,5.5,-2.0,5286743
35.5851,-78.1371,5.0,-20.0,7.0,600.0,2.1,-0.01,1.0,6800.0,0.54,,-5.0,-5.0,-5.0,33.0,1.8,-2.0,5286744
35.5531,-78.2193,10.0,16.0,11.0,700.0,1.4,-0.01,1.0,5100.0,0.58,,-5.0,6.0,5.0,24.0,1.6,-2.0,5286745
35.5645,-78.2466,,,,700.0,3.0,-0.01,,5300.0,,,5.0,7.0,-5.0,16.0,3.3,-2.0,5286754
